SKU, Description, Price, Equipment Type
2500030, Blizzard Bonafide 97 180cm, 220.00, Skis
2500031, Salomon QST 92 172cm, 190.00, Skis
2500032, Burton Feather 149cm, 155.00, Snowboards
2500033, Apex HP All Mountain 28.0, 115.00, Boots
2500034, Line Sick Day 94 184cm, 215.00, Skis
2500035, Ride Warpig 154cm, 240.00, Snowboards
2500036, Scarpa Maestrale RS Mn 29.5, 200.00, Boots
2500037, K2 Mindbender 108Ti 180cm, 295.00, Skis
2500038, GNU Riders Choice 155cm, 210.00, Snowboards
2500039, Rossignol Pure Pro Heat Wn 24.5, 90.00, Boots
2500040, Elan Ripstick 96 176cm, 205.00, Skis
2500041, CAPiTA Defenders of Awesome 156cm, 245.00, Snowboards
2500042, Salomon S/Pro 100 Wn 26.0, 100.00, Boots
2500043, Head Monster 98 175cm, 180.00, Skis
